city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Hyderabad,29-03-2019,Rashid Khan,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,5
Chandigarh,30-03-2019,MA Agarwal,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,wickets,8
Delhi,30-03-2019,PP Shaw,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,tie,NA
Chennai,31-03-2019,MS Dhoni,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,8
Hyderabad,31-03-2019,JM Bairstow,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,118
Chandigarh,01-04-2019,SM Curran,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,14
Jaipur,02-04-2019,S Gopal,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Mumbai,03-04-2019,HH Pandya,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,37
Delhi,04-04-2019,JM Bairstow,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5
Bangalore,05-04-2019,AD Russell,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5
Chennai,06-04-2019,Harbhajan Singh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,22
Hyderabad,06-04-2019,AS Joseph,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,40
Bangalore,07-04-2019,K Rabada,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4
Jaipur,07-04-2019,HF Gurney,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8
Chandigarh,08-04-2019,KL Rahul,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Chennai,09-04-2019,DL Chahar,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,7
Mumbai,10-04-2019,KA Pollard,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,3
